feature_type,n_subjects,n_features,pearson_r,r2,mae,rmse
global_schaefer400,33,5,-0.056765410815890226,-0.5532608545543516,8.427738800460256,10.67707511550521
global_schaefer400,33,10,-0.061945544858316194,-0.4231274448886968,8.2169894790343,10.220025902120447
global_schaefer400,33,15,-0.06858627193622296,-0.4411214669487591,8.325622497268105,10.284433946724645
global_schaefer400,33,20,-0.030744266260215064,-0.41023479174759037,8.28282156895391,10.173627024652879
global_schaefer400,33,50,-0.04250353814676062,-0.4086565104286548,8.287226710574952,10.167932462073047
global_schaefer400,33,100,0.04218234596755774,-0.314106683523137,7.933192895553428,9.82076709262916
global_schaefer400,33,200,0.09104685913759078,-0.25281910438636745,7.619931648593727,9.589021296196108
global_tian,33,5,-0.1882981637730023,-0.7992382212727052,9.423963541653993,11.491439464547
global_tian,33,10,-0.12063446956314838,-0.5874811750952773,8.790745551049886,10.794049154694566
global_tian,33,15,-0.1120735421971865,-0.5582259881474563,8.716243102806008,10.694126599968587
global_tian,33,20,-0.1311330670861091,-0.5324868176355908,8.579293762359818,10.605434673579278
global_tian,33,50,-0.15864963261078102,-0.5621595520879239,8.710692059487657,10.707616144109975
global_tian,33,100,-0.15170391217201915,-0.5281357584440682,8.628540703015263,10.590368418565784
global_tian,33,200,-0.14859414800446522,-0.5219660937549444,8.642364780378884,10.568968125823877
anatomical_schaefer400,33,5,0.2494355977903036,-0.2407840877577352,7.77957339815513,9.5428524109857
anatomical_schaefer400,33,10,0.2997419478152258,-0.09225412832722268,7.259387354605653,8.953481629915164
anatomical_schaefer400,33,15,0.3214776881245209,-0.08254741088485451,7.1543022882832386,8.913608644401492
anatomical_schaefer400,33,20,0.3244337382549532,-0.06609356536117561,7.215914343022065,8.84560944900841
anatomical_schaefer400,33,50,0.32417299374580627,-0.04363159407617001,7.230427386387386,8.751927442868043
anatomical_schaefer400,33,100,0.2993604075536111,-0.0753918115547969,7.19448384150734,8.884100485811237
anatomical_schaefer400,33,200,0.2726702150441788,-0.1154084106046418,7.285746898796187,9.047884685792992
anatomical_tian,33,5,-0.16768142277853185,-0.8613043278809251,9.942600524641026,11.687962056499401
anatomical_tian,33,10,-0.22650758955715128,-0.7249879657671605,9.709356958092085,11.251829283045037
anatomical_tian,33,15,-0.24547529497362006,-0.7027489389756563,9.600417069119857,11.179063128468053
anatomical_tian,33,20,-0.2143753778482936,-0.6337615555730036,9.337945777531543,10.950260115352199
anatomical_tian,33,50,-0.16336079507854762,-0.56285964453983,9.096652269105553,10.710015220931759
anatomical_tian,33,100,-0.1504315878179652,-0.5425871308849364,9.035369996521416,10.640326423284197
anatomical_tian,33,200,-0.08805301110166927,-0.4590378983157817,8.722195667958184,10.348165976754006
